Nom	Prénom	Groupe	Catégorie
Age	Karl	A	C
Assain	Marc	A	A
Assion	Dave	A	C
Ateur	Nordine	C	C
Bambelle	Larry	A	A
Bricot	Judas	B	B
Camant	Medhi	D	A
Copterre	Eli	B	B
Cover	Harry	D	A
Cratif	Luc	C	C
Culaire	Laury	C	B
Delune	Claire	B	A
Dizan	Adam	C	B
Don Devello	Guy	D	B
Dunord	Edgar	D	B
Faire	Lucie	D	B
Faktur	Manu	D	C
Fini	Alain	C	A
Fissile	Teddy	A	B
Fraichi	Sarah	D	A
Garou	Lou	B	C
Gator	Ali	D	A
Gaule	Janry	A	A
Gina	Laurent	B	B
Golade	Larry	C	A
Haire	Axel	C	B
Hat	Tom	D	C
Hatan	Charles	A	B
Hautine	Guy	D	A
Hautine	Nick	A	C
Hine	Bob	A	A
Hochet	Rick	B	C
Homme	Maxime	A	C
Hore	Regis	A	C
Houtan	Laurent	D	C
Hun	Ambre	C	A
Hussion	Paul	C	C
Hycks	Aster	B	C
Jay	Hery	C	B
Jones	Martha	D	C
kado	Jessy	A	B
Kiroul	Pierre	A	B
Konda	Anna	D	B
Lairbon	Oussama	D	C
Loge	Laure	C	B
Luassion	Eva	C	C
Melade	Amar	B	A
Menvussa	Gérard	D	C
Missu	Tira	C	C
Monod	Kim	C	A
Nasse	Anna	B	B
Nay	Robby	B	A
Nette	Mario	C	C
Nicouette	Sandra	A	B
Niskotch	Nicole	D	A
Nitté	Ether	B	A
Olé	Harry	B	A
Onette	Camille	D	B
Orak	Anne	C	A
Oswald	Clara	C	C
Ouzi	Jack	D	C
Paccio	Oscar	B	B
Pard	Léo	D	C
Passe	Maude	C	A
Pèle	Emma	C	B
Phérique	Perry	A	A
Pond	Amelia	B	C
Proviste	Alain	A	C
Rafeux	Pierre	B	C
Reste	Eve	D	C
Rogne	Yves	A	B
Sion	Eddy	C	A
Stérieu	Amy	B	B
Stiqué	Sophie	A	A
Tare	Guy	B	A
Terrieur	Alain	C	C
Terrieur	Alex	B	C
Thine	Clément	C	A
Thor	Donna	B	A
Thorguesse	Paul	C	B
Ticone	Emo	A	A
Tikatité	Taka	B	B
Timètre	Vincent	D	B
Toire	Dina	A	B
Touille	Sacha	B	C
Truand	Tony	B	B
Tyler	Rose	A	C
Vedroite	Henri	A	C
Versère	Annie	A	B
Zion	Eva	C	A
